id,direction,entry_price,entry_time,entry_time_ts,exit_price,exit_time,exit_time_ts,exit_reason,sl,tps,initial_size,pnl,pnl_percent,cumulative_pnl,tp_hits,r_return
30,short,3333.99,2025-06-26 12:40:00+00:00,1750941600,3275.88,2025-06-27 12:15:00+00:00,1751026500,News Embargo,3298.87,"[np.float64(3259.95), np.float64(3170.92), None, None, None]",60.11,3492.99,1.74,9780.13,[],3.49
31,short,3277.56,2025-06-27 16:25:00+00:00,1751041500,3278.92,2025-06-29 22:00:00+00:00,1751234400,SL,3278.77,"[np.float64(3248.97), np.float64(3214.48), None, None, None]",152.97,-207.93,-0.04,9572.19,[],-0.21
32,short,3337.24,2025-07-02 07:40:00+00:00,1751442000,3341.75,2025-07-02 11:35:00+00:00,1751456100,SL,3341.6,"[np.float64(3298.71), np.float64(3252.3), None, None, None]",114.35,-515.97,-0.14,9056.22,[],-0.52
33,long,3336.94,2025-07-04 12:55:00+00:00,1751633700,3331.9,2025-07-04 14:45:00+00:00,1751640300,SL,3332.05,"[np.float64(3358.13), np.float64(3383.73), None, None, None]",204.43,-1030.67,-0.15,8025.55,[],-1.03
34,short,3321.37,2025-07-10 13:50:00+00:00,1752155400,3331.23,2025-07-11 02:30:00+00:00,1752201000,SL,3331.08,"[np.float64(3263.07), np.float64(3192.94), None, None, None]",76.12,-750.6,-0.3,7274.95,[],-0.75
35,short,3359.49,2025-07-14 06:40:00+00:00,1752475200,3363.75,2025-07-14 08:45:00+00:00,1752482700,SL,3363.6,"[np.float64(3332.85), np.float64(3300.7), None, None, None]",163.84,-697.26,-0.13,6577.7,[],-0.7
36,long,3361.22,2025-07-15 10:55:00+00:00,1752576900,3360.49,2025-07-15 13:15:00+00:00,1752585300,News Embargo,3353.24,"[np.float64(3398.37), np.float64(3443.13), None, None, None]",118.49,-86.5,-0.02,6491.2,[],-0.09
37,long,3336.65,2025-07-16 14:20:00+00:00,1752675600,3330.18,2025-07-16 15:35:00+00:00,1752680100,SL,3330.33,"[np.float64(3364.25), np.float64(3397.55), None, None, None]",158.32,-1023.75,-0.19,5467.45,[],-1.02
38,short,3341.44,2025-07-17 07:00:00+00:00,1752735600,3319.71,2025-07-17 15:35:00+00:00,1752766500,Trail_SL,3319.56,"[np.float64(3314.98), np.float64(3283.04), None, None, None]",164.92,3961.35,0.72,9428.8,[1],3.96
39,long,3364.13,2025-07-21 11:40:00+00:00,1753098000,3388.31,2025-07-21 15:55:00+00:00,1753113300,Trail_SL,3388.46,"[np.float64(3382.39), np.float64(3404.49), None, None, None]",235.73,4985.37,0.63,14414.16,[1],4.99
40,short,3314.23,2025-07-29 08:05:00+00:00,1753776300,3326.02,2025-07-29 09:10:00+00:00,1753780200,SL,3325.87,"[np.float64(3262.67), np.float64(3200.62), None, None, None]",85.9,-1012.87,-0.36,13401.29,[],-1.01
41,long,3320.46,2025-07-29 13:30:00+00:00,1753795800,3313.83,2025-07-29 14:35:00+00:00,1753799700,SL,3313.98,"[np.float64(3349.32), np.float64(3384.14), None, None, None]",151.57,-1004.35,-0.2,12396.94,[],-1.0
42,long,3320.36,2025-07-29 14:40:00+00:00,1753800000,3328.03,2025-07-30 11:45:00+00:00,1753875900,Signal,3315.14,"[np.float64(3372.99), np.float64(3436.34), None, None, None]",84.18,645.66,0.23,13042.61,[],0.65
43,short,3328.03,2025-07-30 11:45:00+00:00,1753875900,3299.77,2025-07-30 18:15:00+00:00,1753899300,Trail_SL,3299.62,"[np.float64(3298.17), np.float64(3262.15), None, None, None]",146.64,4250.45,0.87,17293.06,[1],4.25
