datetime,open,high,low,close,volume,spread
2023-12-06 03:45:00+00:00,2020.06,2021.64,2019.93,2020.86,726,10
2023-12-06 04:00:00+00:00,2020.83,2022.25,2020.46,2020.89,732,20
2023-12-06 04:15:00+00:00,2020.84,2022.05,2020.26,2021.61,478,0
2023-12-06 04:30:00+00:00,2021.64,2021.64,2019.91,2020.34,626,0
2023-12-06 04:45:00+00:00,2020.36,2021.54,2019.76,2021.23,711,20
2023-12-06 05:00:00+00:00,2021.24,2022.03,2020.88,2022.01,622,0
2023-12-06 05:15:00+00:00,2022.03,2023.1,2021.75,2022.28,542,10
2023-12-06 05:30:00+00:00,2022.27,2022.41,2021.57,2022.14,309,0
2023-12-06 05:45:00+00:00,2022.08,2024.19,2022.07,2023.23,700,0
2023-12-06 06:00:00+00:00,2023.22,2023.81,2022.67,2023.65,341,0
2023-12-06 06:15:00+00:00,2023.62,2023.94,2022.53,2022.62,249,0
2023-12-06 06:30:00+00:00,2022.62,2022.63,2020.83,2020.88,331,0
2023-12-06 06:45:00+00:00,2020.88,2022.12,2020.46,2022.12,643,0
2023-12-06 07:00:00+00:00,2022.14,2022.16,2021.18,2021.51,326,0
2023-12-06 07:15:00+00:00,2021.53,2022.82,2021.48,2022.57,350,10
2023-12-06 07:30:00+00:00,2022.55,2024.51,2022.55,2023.59,654,0
2023-12-06 07:45:00+00:00,2023.59,2025.49,2023.31,2024.87,917,0
2023-12-06 08:00:00+00:00,2024.87,2025.15,2023.84,2024.66,513,0
2023-12-06 08:15:00+00:00,2024.66,2027.16,2024.56,2025.51,951,0
2023-12-06 08:30:00+00:00,2025.52,2026.57,2025.02,2025.69,829,10
2023-12-06 08:45:00+00:00,2025.66,2026.64,2025.48,2026.41,536,0
2023-12-06 09:00:00+00:00,2026.36,2028.08,2026.26,2027.61,1070,0
2023-12-06 09:15:00+00:00,2027.47,2028.87,2027.03,2028.03,864,0
2023-12-06 09:30:00+00:00,2028.0,2032.15,2027.62,2031.24,1139,0
2023-12-06 09:45:00+00:00,2031.23,2035.9,2030.71,2034.15,1656,0
2023-12-06 10:00:00+00:00,2034.07,2034.86,2032.18,2032.99,1600,0
2023-12-06 10:15:00+00:00,2032.98,2034.92,2031.57,2031.76,1467,0
2023-12-06 10:30:00+00:00,2031.75,2032.16,2027.09,2027.23,1598,0
2023-12-06 10:45:00+00:00,2027.23,2027.43,2024.48,2025.42,1469,0
2023-12-06 11:00:00+00:00,2025.42,2027.84,2024.57,2024.57,1528,0
2023-12-06 11:15:00+00:00,2024.56,2024.77,2021.7,2022.87,1718,0
2023-12-06 11:30:00+00:00,2022.88,2024.35,2022.55,2023.96,1179,0
2023-12-06 11:45:00+00:00,2023.9,2024.58,2020.25,2021.21,1144,0
2023-12-06 12:00:00+00:00,2021.23,2023.81,2021.08,2023.44,1389,0
2023-12-06 12:15:00+00:00,2023.44,2023.56,2021.95,2022.29,1012,0
2023-12-06 12:30:00+00:00,2022.29,2023.24,2021.46,2022.92,844,0
2023-12-06 12:45:00+00:00,2023.02,2023.24,2022.4,2022.91,858,0
2023-12-06 13:00:00+00:00,2022.91,2023.24,2020.91,2021.6,933,0
2023-12-06 13:15:00+00:00,2021.62,2021.93,2020.22,2021.32,813,0
2023-12-06 13:30:00+00:00,2021.32,2021.42,2020.31,2020.62,614,0
2023-12-06 13:45:00+00:00,2020.62,2022.47,2020.42,2021.46,857,0
2023-12-06 14:00:00+00:00,2021.44,2022.83,2021.12,2022.11,1046,0
2023-12-06 14:15:00+00:00,2022.12,2023.44,2021.46,2022.82,886,0
2023-12-06 14:30:00+00:00,2022.82,2024.59,2022.69,2023.88,1204,0
2023-12-06 14:45:00+00:00,2023.88,2027.55,2022.76,2026.29,1521,0
2023-12-06 15:00:00+00:00,2026.29,2028.17,2025.86,2026.99,2123,0
2023-12-06 15:15:00+00:00,2026.95,2031.56,2024.19,2030.14,4073,0
2023-12-06 15:30:00+00:00,2030.19,2031.49,2028.47,2030.51,3636,0
2023-12-06 15:45:00+00:00,2030.49,2031.9,2029.38,2030.21,2960,0
2023-12-06 16:00:00+00:00,2030.19,2031.65,2028.96,2029.69,2334,0
2023-12-06 16:15:00+00:00,2029.69,2033.01,2028.04,2031.8,2342,0
2023-12-06 16:30:00+00:00,2031.79,2033.08,2029.12,2029.59,3766,0
2023-12-06 16:45:00+00:00,2029.58,2030.13,2024.77,2025.19,3817,0
2023-12-06 17:00:00+00:00,2025.21,2026.46,2022.64,2026.17,3474,0
2023-12-06 17:15:00+00:00,2026.17,2029.4,2026.06,2026.79,3335,0
2023-12-06 17:30:00+00:00,2026.78,2031.18,2026.67,2029.12,2935,0
2023-12-06 17:45:00+00:00,2029.12,2032.0,2028.88,2030.35,2248,0
2023-12-06 18:00:00+00:00,2030.34,2031.39,2028.81,2029.24,2242,0
2023-12-06 18:15:00+00:00,2029.23,2029.38,2024.84,2025.44,2452,0
2023-12-06 18:30:00+00:00,2025.44,2027.0,2023.99,2026.54,1925,0
2023-12-06 18:45:00+00:00,2026.56,2030.99,2026.56,2030.04,1315,0
2023-12-06 19:00:00+00:00,2030.04,2030.25,2027.77,2028.17,1808,0
2023-12-06 19:15:00+00:00,2028.17,2028.56,2026.62,2026.69,1547,0
2023-12-06 19:30:00+00:00,2026.72,2029.43,2026.7,2029.18,1361,0
2023-12-06 19:45:00+00:00,2029.18,2029.85,2028.07,2029.59,1465,0
2023-12-06 20:00:00+00:00,2029.58,2031.18,2028.77,2028.84,1295,0
2023-12-06 20:15:00+00:00,2028.89,2030.45,2028.07,2030.11,1200,0
2023-12-06 20:30:00+00:00,2030.08,2030.88,2029.4,2029.79,912,0
2023-12-06 20:45:00+00:00,2029.81,2031.29,2029.8,2030.66,876,0
2023-12-06 21:00:00+00:00,2030.65,2030.81,2029.56,2029.89,590,0
2023-12-06 21:15:00+00:00,2029.87,2029.99,2028.77,2029.15,585,0
2023-12-06 21:30:00+00:00,2029.14,2030.16,2028.77,2029.95,541,0
2023-12-06 21:45:00+00:00,2030.03,2030.25,2029.18,2029.97,632,0
2023-12-06 22:00:00+00:00,2029.97,2029.97,2027.42,2027.95,741,0
2023-12-06 22:15:00+00:00,2027.95,2028.2,2027.2,2027.63,802,10
2023-12-06 22:30:00+00:00,2027.63,2027.83,2025.38,2026.0,908,0
