timestamp,open,high,low,close,volume
1788912000000,4349.825,4352.645,4346.125,4349.785,0.0881
1788912300000,4349.675,4350.195,4344.275,4348.755,0.0688
1788912600000,4348.515,4352.305,4346.725,4349.395,0.056
1788912900000,4349.275,4350.055,4344.255,4347.595,0.0626
1788913200000,4347.495,4348.165,4342.405,4342.665,0.0506
1788913500000,4342.475,4347.525,4340.965,4346.765,0.0511
1788913800000,4346.665,4347.775,4345.195,4346.115,0.0438
1788914100000,4346.225,4349.155,4343.435,4348.805,0.0593
1788914400000,4348.955,4354.765,4347.205,4354.645,0.049
1788914700000,4354.465,4356.645,4352.405,4355.785,0.0452
1788915000000,4356.265,4360.725,4354.455,4359.385,0.054
1788915300000,4359.555,4365.265,4358.455,4364.375,0.0514
1788915600000,4364.285,4364.455,4353.675,4357.455,0.1761
1788915900000,4357.635,4367.435,4357.105,4367.435,0.1249
1788916200000,4367.005,4368.455,4365.415,4368.025,0.1117
1788916500000,4367.925,4368.895,4362.535,4365.815,0.1128
1788916800000,4365.665,4369.325,4364.655,4369.115,0.097
1788917100000,4369.315,4372.955,4367.825,4371.395,0.0847
1788917400000,4371.205,4376.665,4370.575,4376.285,0.0947
1788917700000,4376.205,4377.715,4373.965,4374.955,0.0979
1788918000000,4375.075,4377.905,4374.265,4376.115,0.0728
1788918300000,4376.035,4377.945,4373.065,4375.255,0.0839
1788918600000,4375.375,4375.855,4371.425,4373.375,0.0792
1788918900000,4373.515,4375.825,4370.505,4373.325,0.0784
1788919200000,4373.455,4373.615,4370.545,4372.855,0.0864
1788919500000,4372.755,4375.445,4370.235,4374.295,0.0794
1788919800000,4374.425,4375.235,4372.295,4373.325,0.0717
1788920100000,4373.515,4376.785,4373.005,4374.295,0.0554
1788920400000,4374.305,4374.815,4371.635,4371.635,0.0495
1788920700000,4371.435,4372.705,4371.225,4372.635,0.0418
1788921000000,4372.525,4373.665,4369.055,4369.175,0.0654
1788921300000,4369.295,4370.875,4366.925,4368.045,0.0835
1788921600000,4368.285,4374.355,4368.115,4374.105,0.0682
1788921900000,4373.835,4378.265,4372.805,4376.785,0.085
1788922200000,4376.935,4384.335,4375.895,4380.165,0.1127
1788922500000,4380.215,4382.775,4379.445,4382.265,0.1033
1788922800000,4382.155,4382.805,4378.245,4379.295,0.0772
1788923100000,4379.525,4382.065,4377.855,4378.255,0.0733
1788923400000,4378.145,4380.645,4378.105,4378.945,0.0434
1788923700000,4378.615,4378.945,4375.455,4377.065,0.0514
1788924000000,4377.065,4379.105,4376.705,4378.555,0.0448
1788924300000,4378.695,4378.805,4375.035,4377.825,0.0571
1788924600000,4377.945,4378.185,4375.115,4376.065,0.0473
1788924900000,4375.885,4377.875,4375.745,4377.655,0.0297
1788925200000,4377.655,4379.795,4377.185,4378.495,0.0376
1788925500000,4378.245,4378.675,4376.775,4377.625,0.0362
1788925800000,4377.505,4378.835,4376.005,4377.265,0.0484
1788926100000,4377.065,4377.405,4374.675,4374.805,0.028
1788926400000,4375.025,4375.875,4374.155,4374.555,0.0374
1788926700000,4374.415,4374.475,4371.405,4372.055,0.0461
1788927000000,4371.925,4373.435,4370.365,4373.145,0.057
1788927300000,4373.215,4374.245,4372.005,4373.275,0.0467
1788927600000,4373.415,4377.125,4372.385,4376.775,0.0669
1788927900000,4376.895,4380.615,4376.425,4379.845,0.0575
1788928200000,4379.745,4379.975,4377.465,4378.485,0.0493
1788928500000,4378.385,4379.925,4377.375,4377.995,0.0322
1788928800000,4377.805,4378.355,4375.885,4377.775,0.0332
1788929100000,4377.675,4379.855,4377.675,4378.535,0.0374
1788929400000,4378.415,4381.075,4377.195,4380.565,0.0461
1788929700000,4380.665,4382.345,4379.785,4381.065,0.0459
1788930000000,4381.175,4383.925,4380.105,4381.305,0.0686
1788930300000,4381.175,4384.945,4381.095,4384.525,0.0451
1788930600000,4384.575,4387.565,4384.475,4387.465,0.0582
1788930900000,4387.335,4388.365,4386.475,4387.755,0.0587
1788931200000,4387.655,4388.255,4382.865,4386.275,0.0623
1788931500000,4386.375,4388.155,4384.755,4384.755,0.0483
1788931800000,4384.955,4388.625,4383.945,4387.295,0.11
1788932100000,4387.075,4392.475,4385.795,4392.055,0.0736
1788932400000,4392.285,4395.565,4391.375,4395.365,0.0832
1788932700000,4395.195,4397.225,4392.135,4395.645,0.0796
1788933000000,4395.525,4400.175,4395.525,4399.535,0.0764
1788933300000,4399.645,4400.765,4398.405,4398.495,0.0757
1788933600000,4398.655,4404.205,4398.125,4403.085,0.0594
1788933900000,4403.085,4405.105,4399.685,4399.915,0.0618
1788934200000,4400.095,4401.875,4398.555,4401.135,0.0398
1788934500000,4401.215,4403.145,4399.395,4399.765,0.0519
1788934800000,4399.655,4400.375,4397.015,4398.775,0.0554
1788935100000,4398.895,4399.445,4395.015,4397.855,0.0464
1788935400000,4397.965,4403.165,4396.915,4402.715,0.0555
1788935700000,4402.755,4405.975,4401.875,4404.635,0.0596
1788936000000,4404.745,4404.745,4399.485,4400.145,0.0419
1788936300000,4400.395,4401.015,4398.395,4400.855,0.0441
1788936600000,4400.965,4401.325,4399.235,4400.415,0.0364
1788936900000,4400.375,4401.255,4399.255,4400.365,0.0613
1788937200000,4400.225,4402.225,4399.055,4401.275,0.0943
1788937500000,4401.275,4404.285,4400.955,4403.535,0.0764
1788937800000,4403.465,4407.615,4402.895,4406.395,0.0917
1788938100000,4406.275,4406.655,4402.765,4403.535,0.1018
1788938400000,4403.665,4407.465,4403.375,4405.165,0.0898
1788938700000,4405.175,4408.675,4404.635,4407.485,0.073
1788939000000,4407.485,4408.465,4406.225,4407.165,0.0775
1788939300000,4407.155,4410.045,4406.645,4410.045,0.0739
1788939600000,4409.925,4410.295,4408.125,4410.055,0.0615
1788939900000,4410.225,4412.575,4409.185,4411.515,0.0867
1788940200000,4411.365,4411.545,4408.165,4408.725,0.0906
1788940500000,4408.815,4409.955,4408.315,4408.805,0.0634
1788940800000,4408.895,4409.585,4406.725,4408.215,0.113
1788941100000,4408.215,4411.785,4406.805,4406.905,0.1068
1788941400000,4407.035,4407.105,4403.465,4403.545,0.1105
1788941700000,4403.665,4404.645,4401.865,4403.575,0.0895
1788942000000,4403.465,4403.565,4400.735,4401.085,0.07
1788942300000,4401.085,4402.125,4399.265,4399.475,0.1031
1788942600000,4399.425,4403.385,4399.345,4401.705,0.0853
1788942900000,4401.705,4402.215,4399.125,4399.325,0.0664
1788943200000,4399.365,4401.775,4398.775,4399.795,0.0763
1788943500000,4399.705,4401.905,4398.825,4400.045,0.0748
1788943800000,4399.875,4401.855,4399.535,4401.665,0.0761
1788944100000,4401.625,4402.965,4400.125,4400.325,0.0575
1788944400000,4400.405,4401.985,4399.815,4400.715,0.092
1788944700000,4400.895,4402.065,4399.175,4401.515,0.0895
1788945000000,4401.545,4401.545,4397.655,4398.275,0.0707
1788945300000,4398.165,4399.905,4397.235,4399.685,0.0705
1788945600000,4399.685,4399.985,4397.005,4397.415,0.087
1788945900000,4397.415,4398.895,4396.735,4398.325,0.0694
1788946200000,4398.325,4398.625,4395.435,4397.775,0.0934
1788946500000,4397.655,4398.415,4396.915,4397.745,0.0722
1788946800000,4397.965,4398.285,4395.045,4396.115,0.0893
1788947100000,4396.115,4396.115,4393.715,4394.725,0.0943
1788947400000,4394.695,4394.725,4390.755,4390.835,0.0982
1788947700000,4390.765,4391.085,4388.315,4390.455,0.1297
1788948000000,4390.405,4391.385,4386.015,4389.935,0.1511
1788948300000,4389.955,4393.085,4389.945,4392.255,0.0887
1788948600000,4392.255,4393.425,4389.755,4391.015,0.1056
1788948900000,4390.935,4394.555,4389.015,4394.275,0.1073
1788949200000,4394.275,4395.755,4393.525,4394.335,0.0826
1788949500000,4394.295,4395.505,4392.885,4394.095,0.071
1788949800000,4394.115,4396.835,4393.155,4396.035,0.0964
1788950100000,4395.895,4398.995,4395.825,4398.295,0.0817
1788950400000,4398.435,4398.875,4394.055,4394.735,0.0672
1788950700000,4394.605,4399.745,4394.295,4398.615,0.0821
1788951000000,4398.665,4402.015,4398.065,4401.985,0.0951
1788951300000,4401.785,4402.955,4399.175,4399.175,0.0935
1788951600000,4399.185,4403.595,4399.185,4403.425,0.0883
1788951900000,4403.425,4404.045,4401.935,4404.025,0.0659
1788952200000,4403.905,4404.415,4402.385,4403.325,0.0682
1788952500000,4403.385,4404.535,4401.205,4403.815,0.0697
1788952800000,4403.805,4406.145,4402.275,4406.005,0.0789
1788953100000,4405.865,4408.895,4405.855,4408.145,0.106
1788953400000,4408.015,4408.255,4404.275,4404.455,0.1104
1788953700000,4404.455,4405.205,4403.285,4404.605,0.0953
1788954000000,4404.735,4406.965,4404.555,4405.245,0.0923
1788954300000,4405.505,4414.305,4403.225,4413.745,0.1233
1788954600000,4413.745,4414.975,4406.665,4406.855,0.1881
1788954900000,4406.905,4408.335,4405.635,4407.095,0.113
1788955200000,4407.175,4409.115,4403.105,4403.865,0.1361
1788955500000,4403.895,4405.465,4400.625,4403.005,0.1463
1788955800000,4403.145,4404.415,4398.835,4398.975,0.1295
1788956100000,4398.995,4400.025,4395.765,4396.385,0.125
1788956400000,4396.485,4400.055,4394.605,4396.685,0.164
1788956700000,4396.685,4396.805,4393.415,4393.575,0.1415
1788957000000,4393.565,4396.965,4391.615,4396.105,0.1505
1788957300000,4396.055,4397.355,4390.645,4390.845,0.1513
1788957600000,4390.915,4395.545,4390.605,4395.145,0.1291
1788957900000,4395.245,4399.505,4395.175,4397.185,0.1141
1788958200000,4397.035,4398.915,4395.885,4398.195,0.1
1788958500000,4398.175,4402.085,4398.035,4399.895,0.1024
1788958800000,4399.815,4408.115,4398.415,4406.955,0.2075
1788959100000,4406.955,4410.325,4406.705,4409.585,0.1618
1788959400000,4409.845,4413.465,4409.425,4412.905,0.1552
1788959700000,4413.005,4417.845,4410.645,4417.085,0.1754
1788960000000,4417.065,4427.755,4414.325,4427.305,0.2066
1788960300000,4427.545,4430.125,4424.955,4429.225,0.2254
1788960600000,4429.085,4433.785,4427.635,4430.375,0.2608
1788960900000,4430.355,4430.365,4419.625,4421.125,0.2517
1788961200000,4421.165,4421.745,4412.445,4416.905,0.2651
1788961500000,4416.915,4421.115,4415.665,4421.105,0.2484
1788961800000,4420.975,4423.625,4415.155,4416.215,0.2298
1788962100000,4416.215,4416.765,4410.445,4414.615,0.2211
1788962400000,4414.495,4424.235,4414.005,4423.325,0.2469
1788962700000,4423.225,4428.285,4420.765,4421.915,0.2372
1788963000000,4421.875,4423.375,4417.595,4423.055,0.2207
1788963300000,4423.055,4423.065,4413.495,4416.585,0.2505
1788963600000,4416.615,4417.125,4409.335,4409.795,0.2376
1788963900000,4409.915,4425.825,4409.615,4425.635,0.23
1788964200000,4425.695,4425.825,4420.195,4422.515,0.2123
1788964500000,4422.585,4426.855,4422.365,4425.795,0.1763
1788964800000,4425.605,4426.305,4418.125,4418.615,0.1714
1788965100000,4418.695,4422.135,4417.845,4420.465,0.1807
1788965400000,4420.465,4423.375,4418.975,4419.135,0.1853
1788965700000,4419.175,4420.165,4414.735,4418.505,0.1927
